album_id,name,release_date,total_tracks,url
77Od9wwcLw10IjhX2D7srV,In Memory Of Some Stand Up Guys,2024-01-05,12,https://open.spotify.com/album/77Od9wwcLw10IjhX2D7srV
678gU1iWVNcgTstct030O3,Låt Mig Va,2023-12-25,1,https://open.spotify.com/album/678gU1iWVNcgTstct030O3
0Ma4pU6qyMUlk4wl24ncjM,Överallt,2023-11-01,3,https://open.spotify.com/album/0Ma4pU6qyMUlk4wl24ncjM
2NOivMLIOTEdbnkD6HnnfA,Astronaut - Spotify Singles,2023-12-06,1,https://open.spotify.com/album/2NOivMLIOTEdbnkD6HnnfA
3EQltKEqsH8RLRvEP6sgG6,Bättre nu (The Wedding),2023-10-28,1,https://open.spotify.com/album/3EQltKEqsH8RLRvEP6sgG6
5MU0RmBSpoSxOPYBfcobDc,Prada,2023-08-11,1,https://open.spotify.com/album/5MU0RmBSpoSxOPYBfcobDc
0cVVi5pOnxXno0Krda4f8g,Dans från dig,2023-09-22,1,https://open.spotify.com/album/0cVVi5pOnxXno0Krda4f8g
4WNif9l3tnCtgdyLO3hTaG,Somna med Humlan Djojj,2020-10-30,10,https://open.spotify.com/album/4WNif9l3tnCtgdyLO3hTaG
6P4rV3154g0xVp9vrOyYH1,Upp och ner och hit och dit med Babblarna,2023-09-01,18,https://open.spotify.com/album/6P4rV3154g0xVp9vrOyYH1
2B9amdrHDIKOoEiPUfZGtb,"yes, and?",2024-01-12,1,https://open.spotify.com/album/2B9amdrHDIKOoEiPUfZGtb
6VCO0fDBGbRW8mCEvV95af,Lovin On Me,2023-11-10,1,https://open.spotify.com/album/6VCO0fDBGbRW8mCEvV95af
1ivEkyr50tSXBwwZ8z7E32,Ikväll Igen,2023-04-12,1,https://open.spotify.com/album/1ivEkyr50tSXBwwZ8z7E32
2bZBvHKMCyYt3VdTSa8kPH,Hjärta,2023-10-20,1,https://open.spotify.com/album/2bZBvHKMCyYt3VdTSa8kPH
2FBCD1CwSiLcZANLypghei,ASKER,2024-01-12,8,https://open.spotify.com/album/2FBCD1CwSiLcZANLypghei
5IvpvVd9LKgHACcUSHL5Y8,Memory Lane & Winter Song,2023-11-24,2,https://open.spotify.com/album/5IvpvVd9LKgHACcUSHL5Y8
50ZenUP4O2Q5eCy2NRNvuz,Stick Season,2022-10-14,14,https://open.spotify.com/album/50ZenUP4O2Q5eCy2NRNvuz
1rOwYVdRnJW8rHhEkG6zfC,Kan Inte Gå,2021-12-29,1,https://open.spotify.com/album/1rOwYVdRnJW8rHhEkG6zfC
7FtYP3MDq2sK9FMUMJTQcC,Inatt (Inget Stoppar Oss Nu),2023-10-28,1,https://open.spotify.com/album/7FtYP3MDq2sK9FMUMJTQcC
4pLkHKKCpechDpqhW439gJ,Handen Under Mona Lisas Kjol (PT:1),2019-12-25,6,https://open.spotify.com/album/4pLkHKKCpechDpqhW439gJ
4OrCH3Tp7HUpfxKzwWuVp3,The Only Wan,2022-09-01,8,https://open.spotify.com/album/4OrCH3Tp7HUpfxKzwWuVp3
6PbnGueEO6LGodPfvNldYf,Zach Bryan,2023-08-25,16,https://open.spotify.com/album/6PbnGueEO6LGodPfvNldYf
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),2023-06-02,1,https://open.spotify.com/album/5O0zUvdnJr0RbWzLFneN2i
3yoNZlqerJnsnMN5EDwwBS,Strange Trails,2015-04-07,14,https://open.spotify.com/album/3yoNZlqerJnsnMN5EDwwBS
68ishLKwqH5oH79kUteEHG,Read My Lips,2002-06-06,15,https://open.spotify.com/album/68ishLKwqH5oH79kUteEHG
3hhMWYseNlwaMyrAAcbSIW,Ramla,2023-11-24,1,https://open.spotify.com/album/3hhMWYseNlwaMyrAAcbSIW
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,3,https://open.spotify.com/album/7tzVd1fwkxsorytCBjEJkU
3OBYM95WFMy24ZiWK5vPHQ,Farväl,2023-09-13,2,https://open.spotify.com/album/3OBYM95WFMy24ZiWK5vPHQ
3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15,1,https://open.spotify.com/album/3UOV8XvCwMKaATRNXrYCjN
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),2023-09-15,10,https://open.spotify.com/album/7nacKlk586eLRBSIsrk9DB
5GusruUjqDx5zA9jfdRgSH,Lemonade,2023-12-29,1,https://open.spotify.com/album/5GusruUjqDx5zA9jfdRgSH
6ghcTg1cb6We9GWZGOWOgH,Kod Röd,2023-11-17,3,https://open.spotify.com/album/6ghcTg1cb6We9GWZGOWOgH
7jGNK2EUM6FoyfiQq0uVHA,Go,2023-09-22,1,https://open.spotify.com/album/7jGNK2EUM6FoyfiQq0uVHA
6UoEY8gw0sUG1YReQCc1O7,Likkle Boy,2023-11-24,1,https://open.spotify.com/album/6UoEY8gw0sUG1YReQCc1O7
2DGzTm2R2v3G0IjnxXtP3Y,Vapen & ammunition,2002-04-15,10,https://open.spotify.com/album/2DGzTm2R2v3G0IjnxXtP3Y
6zEEpctC1joN7KkqsWIm1j,Det kommer aldrig va över för mig - Spotify Singles,2023-10-20,1,https://open.spotify.com/album/6zEEpctC1joN7KkqsWIm1j
5q6u7feIJNs8GubNSybtYb,Svart Ferrari,2024-01-12,1,https://open.spotify.com/album/5q6u7feIJNs8GubNSybtYb
6HpmLRAvpms9AiqSB3zGdy,PISTOLER POESI OCH SEX,2023-02-28,13,https://open.spotify.com/album/6HpmLRAvpms9AiqSB3zGdy
2RRYaYHY7fIIdvFlvgb5vq,american dream,2024-01-12,15,https://open.spotify.com/album/2RRYaYHY7fIIdvFlvgb5vq
5S9b8euumqMhQbMk0zzQdH,Dream Your Life Away (Special Edition),2014-09-09,15,https://open.spotify.com/album/5S9b8euumqMhQbMk0zzQdH
5pTaRVLwZOFObIbRBubmeb,Houdini,2023-11-09,1,https://open.spotify.com/album/5pTaRVLwZOFObIbRBubmeb
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
18ogtNq9F7DmMkNYO6Xb4k,Strangers,2023-09-01,1,https://open.spotify.com/album/18ogtNq9F7DmMkNYO6Xb4k
7aZiFpe3Ji0BQ3E2Uo7LzK,Spår av BLod,2023-10-27,9,https://open.spotify.com/album/7aZiFpe3Ji0BQ3E2Uo7LzK
1J7XItLnNLegigdh4AjGKN,Thank You (Not So Bad),2023-12-01,1,https://open.spotify.com/album/1J7XItLnNLegigdh4AjGKN
